Questions,Answers,Cleaned_Questions,Cleaned_Answers
Where can I find more information about depression?,"Our info sheets on mood disorders, bipolar disorder, and depression offer information on mood problems, treatment options, and resources in BC. We also offer What is Depression? It’s a booklet with audio in plain language for lower literacy readers. You can take a screening self-test for depression (and other mental health concerns). The adult depression tool also screens for signs of bipolar disorder. 
 If you want to go beyond the basics, our Managing Depression series can help you deal with a diagnosis of depression, work with doctor, and prevent relapse of depression. You’ll also find many experiences and perspectives around depression—reading personal stories can help you feel less alone.",find information depression,info sheet mood disorder bipolar disorder depression offer information mood problem treatment option resource bc also offer depression booklet audio plain language lower literacy reader take screening selftest depression mental health concern adult depression tool also screen sign bipolar disorder want go beyond basic managing depression series help deal diagnosis depression work doctor prevent relapse depression youll also find many experience perspective around depressionreading personal story help feel less alone
What’s the difference between anxiety and an anxiety disorder?,"Anxiety is a normal reaction to many different kinds of events and situations in our lives. Anxiety is one of our internal warning systems that alerts us to danger or other threats and prepares our bodies to fight back or get out of a dangerous situation. (Scientists call this the ‘fight, flight, or freeze’ response.) 
 A manageable amount of anxiety from time to time can be helpful. For example, it can motivate you to prepare for a test a school or finish a task at work. Even happy events like moving to a new home or celebrating an important milestone can bring up anxiety—all of this is just part of being human. 
 Anxiety is a problem when it becomes overwhelming or unmanageable and it comes up unexpectedly. Anxiety disorders are mental illnesses that have a big impact your life. People may avoid going about their daily lives in order to avoid anxiety. They may experience a lot of uncomfortable physical sensations and physical health problems. Many people say that they know their anxiety isn’t based in reality, but they feel ‘trapped’ by their thought and feelings. Anxiety disorders can be treated. It’s important to seek help if you’re concerned about anxiety in your life. 
 Normal anxiety... 
 Is related to a specific situation or problem 
 Lasts only as long as the situation or problem/p> 
 Is proportional to the situation or problem/p> 
 Is a realistic response to a realistic problem or situation/p> 
 When someone experiences an anxiety disorder... 
 Anxiety may come up unexpectedly, for seemingly no reason 
 The anxiety response to a situation or problem may be much stronger that they would expect 
 They may experience a lot of unrealistic anxiety, such as fear of a situation that likely will never happen 
 Anxiety may last for a long time, even when the situation or problem has been resolved 
 Anxiety may feel impossible to control or manage 
 They may avoid situations or things that they believe to trigger anxiety symptoms 
 Here’s an example of normal anxiety and an anxiety disorder. Many people are a bit nervous about flying, which is a totally normal reaction. Yet, if they have to travel for work, they can can get on a plane without any problems. Someone with an anxiety disorder, on the other hand, may not be able to travel to the airport—even if it puts their job in jeopardy. 
 *Formerly classified as an anxiety disorder and currently classified as Trauma- and Stressor-Related Disorders 
 **Formerly classified as an anxiety disorder and currently classified as Obsessive-Compulsive and Related Disorders",whats difference anxiety anxiety disorder,anxiety normal reaction many different kind event situation life anxiety one internal warning system alert u danger threat prepares body fight back get dangerous situation scientist call fight flight freeze response manageable amount anxiety time time helpful example motivate prepare test school finish task work even happy event like moving new home celebrating important milestone bring anxietyall part human anxiety problem becomes overwhelming unmanageable come unexpectedly anxiety disorder mental illness big impact life people may avoid going daily life order avoid anxiety may experience lot uncomfortable physical sensation physical health problem many people say know anxiety isnt based reality feel trapped thought feeling anxiety disorder treated important seek help youre concerned anxiety life normal anxiety related specific situation problem last long situation problemp proportional situation problemp realistic response realistic problem situationp someone experience anxiety disorder anxiety may come unexpectedly seemingly reason anxiety response situation problem may much stronger would expect may experience lot unrealistic anxiety fear situation likely never happen anxiety may last long time even situation problem resolved anxiety may feel impossible control manage may avoid situation thing believe trigger anxiety symptom here example normal anxiety anxiety disorder many people bit nervous flying totally normal reaction yet travel work get plane without problem someone anxiety disorder hand may able travel airporteven put job jeopardy formerly classified anxiety disorder currently classified trauma stressorrelated disorder formerly classified anxiety disorder currently classified obsessivecompulsive related disorder
What's the difference between anxiety and stress?,"Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same ‘fight, flight, or freeze’ response as anxiety, and the physical sensations of anxiety and stress may be very similar. 
 The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that we’re finding hard to cope with. When we are stressed, we usually know what we’re stressed about, and the symptoms of stress typically disappear after the stressful situation is over. 
 Anxiety, on the other hand, isn’t always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life.",whats difference anxiety stress,stress anxiety often used interchangeably overlap stress anxiety stress related fight flight freeze response anxiety physical sensation anxiety stress may similar cause stress anxiety usually different however stress focus mainly external pressure u finding hard cope stressed usually know stressed symptom stress typically disappear stressful situation anxiety hand isnt always easy figure anxiety focus worry fear thing could threaten u well anxiety anxiety stress anxiety part human problem last long time impact wellbeing daily life
What's the difference between sadness and depression?,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. 
 Other ways to talk about sadness might be ‘feeling low,’ ‘feeling down,’ or ‘feeling blue.’ A person may say they are feeling ‘depressed,’ but if it goes away on its own and doesn’t impact life in a big way, it probably isn’t the illness of depression. 
 Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It’s much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn’t usually go away on its own, and impacts your life. It’s a real illness, and it is very treatable. It’s important to seek help if you’re concerned about depression.",whats difference sadness depression,sadness normal reaction loss disappointment problem difficult situation feeling sad time time another part human case feeling sadness go away quickly go daily life way talk sadness might feeling low feeling feeling blue person may say feeling depressed go away doesnt impact life big way probably isnt illness depression depression mental illness affect mood way understand way understand relate thing around also go different name clinical depression major depressive disorder major depression depression come reason last long time much sadness low mood people experience depression may feel worthless hopeless may feel unreasonable guilty people may experience depression anger irritability may hard concentrate make decision people lose interest thing used enjoy may isolate others also physical sign depression problem sleep appetite energy unexplainable ache pain may experience difficult thought death ending life suicide depression last longer two week doesnt usually go away impact life real illness treatable important seek help youre concerned depression
What is dysthymia or persistent depressive disorder?,"Dysthymia, now called persistent depressive disorder or PDD, is a mood disorder. It is related depression (major depressive disorder). The difference between the two is in the number of symptoms and the amount of time that they last. Someone diagnosed with PDD would experience two to four of the symptoms below for at least two years with no periods of wellness during that time, while someone diagnosed with major depressive disorder would experience five or more of the symptoms below for at least two weeks. 
 Symptoms of PDD include: 
 There is a myth that PDD is not as severe an illness as major depressive disorder, but research shows that the disability of the illness, like the ability to work productively and enjoy hobbies, may be as severe in PDD as it is in major depressive disorder. As PDD involves a smaller number of symptoms that last for a very long time, many people begin to assume PDD is just part of their personality rather than an illness that can be effectively treated. So you should most certainly talk to a doctor or mental health professional if you think you might have PDD.",dysthymia persistent depressive disorder,dysthymia called persistent depressive disorder pdd mood disorder related depression major depressive disorder difference two number symptom amount time last someone diagnosed pdd would experience two four symptom least two year period wellness time someone diagnosed major depressive disorder would experience five symptom least two week symptom pdd include myth pdd severe illness major depressive disorder research show disability illness like ability work productively enjoy hobby may severe pdd major depressive disorder pdd involves smaller number symptom last long time many people begin assume pdd part personality rather illness effectively treated certainly talk doctor mental health professional think might pdd
What is cyclothymic disorder?,"Cyclothymic disorder is a subtype of bipolar disorder. Much like bipolar disorder, the symptoms of cyclothymia include three or more symptoms of hypomania, and five or more symptoms of depression. Like bipolar disorder, people may experience wellness between episodes of hypomania and depression. 
 Symptoms of hypomania include: 
 Symptoms of depression include: 
 Talk to a doctor or mental health professional if you think you might have cyclothymic disorder.",cyclothymic disorder,cyclothymic disorder subtype bipolar disorder much like bipolar disorder symptom cyclothymia include three symptom hypomania five symptom depression like bipolar disorder people may experience wellness episode hypomania depression symptom hypomania include symptom depression include talk doctor mental health professional think might cyclothymic disorder
What does rapid cycling mean?,"Rapid cycling means that someone diagnosed with bipolar disorder (or depression) experiences four or more episodes of depression and/or mania in one year. 
 Rapid cycling can happen any time someone experiences bipolar disorder—about 10-20% of people diagnosed with bipolar disorder experience rapid cycling at some point. In many cases, rapid cycling eventually goes away on its own and people return to a pattern of longer and less frequent episodes.",rapid cycling mean,rapid cycling mean someone diagnosed bipolar disorder depression experience four episode depression andor mania one year rapid cycling happen time someone experience bipolar disorderabout people diagnosed bipolar disorder experience rapid cycling point many case rapid cycling eventually go away people return pattern longer less frequent episode
Where can I find information and help for borderline personality disorder?,"Borderline personality disorder or BPD is a treatable illness. It’s made up of five groups of symptoms around behaviours, emotions, relationships, sense of identity, and awareness. You can read our info sheet on borderline personality disorder. We also have an entire issue of Visions Journal on BPD, where you’ll find information on treatments and support and personal stories from people who are managing BPD and living well. 
 The Borderline Personality Disorder Society of BC offers a support group in Victoria and a resource library, and they have a listing of services in BC. 
 In Vancouver, the DBT Centre of Vancouver offer dialectical behaviour therapy (DBT) ad specializes in helping people who experience BPD. The offer individual, group, and family counselling, and they have a useful blog on DBT skills. 
 There are several good, helpful books available now, including:",find information help borderline personality disorder,borderline personality disorder bpd treatable illness made five group symptom around behaviour emotion relationship sense identity awareness read info sheet borderline personality disorder also entire issue vision journal bpd youll find information treatment support personal story people managing bpd living well borderline personality disorder society bc offer support group victoria resource library listing service bc vancouver dbt centre vancouver offer dialectical behaviour therapy dbt ad specializes helping people experience bpd offer individual group family counselling useful blog dbt skill several good helpful book available including
What is schizoid personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Schizoid personality disorder or SPD affects social interactions and relationships. People with SPD may have a hard time relating to others and showing emotions. They may avoid close relationships and prefer to spend their time alone, seeming distant even to close family members. Many people don’t respond to strong emotions like anger, even when others try to provoke them. On the outside, people with SPD may seem cold or aloof, showing little emotion. 
 While they have a similar name, schizoid personality disorder isn’t the same as schizophrenia. 
 Schizoid personality disorder is believed to be relatively uncommon. While some people with SPD may see it as part of who they are, other people may feel a lot of distress, especially around social interactions. Some medications may help people manage symptoms and psychotherapy may help people build new skills and improve relationships. 
 To find help for schizoid personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator.",schizoid personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress schizoid personality disorder spd affect social interaction relationship people spd may hard time relating others showing emotion may avoid close relationship prefer spend time alone seeming distant even close family member many people dont respond strong emotion like anger even others try provoke outside people spd may seem cold aloof showing little emotion similar name schizoid personality disorder isnt schizophrenia schizoid personality disorder believed relatively uncommon people spd may see part people may feel lot distress especially around social interaction medication may help people manage symptom psychotherapy may help people build new skill improve relationship find help schizoid personality disorder talk family doctor find psychologist bc psychological association call talk healthlink bc navigator
What is antisocial personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Antisocial personality disorder or ASPD affects the way people think about the rights of others. Someone with ASPD may disregard laws or expectations, lack remorse when they hurt others or break the law, make reckless decisions, and believe they are superior to others. People may see someone with ASPD as overly dramatic, impulsive, manipulative, and deceitful. Some people may appear charming, at least on the surface. Like all mental illnesses, antisocial personality disorder is a spectrum. Some people may only occasionally act out, while others may break the law often and spend a lot of time in the criminal justice system. 
 ASPD is only diagnosed in adults, but people with ASPD start to have problems with conduct or antisocial behaviours at a young age. They may be diagnosed with conduct disorder during childhood. 
 Treatment for antisocial personality disorder, usually psychotherapy, can help reduce the harms of ASPD and help people build empathy towards others. ASPD is treatable and it may improve as a person approaches middle age. 
 All of us have hurt someone else or acted without thinking of others' needed. It’s important to remember that antisocial personality disorder is an enduring pattern around lack of empathy and lack of remorse. Only a doctor or mental health professional can diagnose illnesses like ASPD. 
 To find help for antisocial personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator.",antisocial personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress antisocial personality disorder aspd affect way people think right others someone aspd may disregard law expectation lack remorse hurt others break law make reckless decision believe superior others people may see someone aspd overly dramatic impulsive manipulative deceitful people may appear charming least surface like mental illness antisocial personality disorder spectrum people may occasionally act others may break law often spend lot time criminal justice system aspd diagnosed adult people aspd start problem conduct antisocial behaviour young age may diagnosed conduct disorder childhood treatment antisocial personality disorder usually psychotherapy help reduce harm aspd help people build empathy towards others aspd treatable may improve person approach middle age u hurt someone else acted without thinking others needed important remember antisocial personality disorder enduring pattern around lack empathy lack remorse doctor mental health professional diagnose illness like aspd find help antisocial personality disorder talk family doctor find psychologist bc psychological association call talk healthlink bc navigator
What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Obsessive-compulsive personality disorder or OCPD is about control. People with OCPD have very inflexible thinking and expect everything to be ordered, perfect, and done their ""correct"" way. This happens at the expense of other important things in life, including relationships with others. Work can take priority over every other part of life, too, and people with OCPD may seem excessively dedicated, but may be unable to complete tasks due to perfectionism. They may struggle to delegate and may distrust other people’s contributions. People with OCPD may not tolerate uncertainty and may have a very rigid understanding of the world—something is either right or wrong. They may also have a hard time spending money on themselves or others, and they may experience hoarding, the inability to throw away items from their homes. The conflict between the desire for neatness or order and the inability to throw things out may cause a lot of anxiety. 
 While obsessive-compulsive personality disorder and obsessive-compulsive disorder (OCD) have a similar name, they are not the same illness. People with obsessive-compulsive disorder usually understand that their obsessions and compulsions are illogical and usually experience a lot of distress, even though they may not be able to stop obsessions or compulsions. Compulsions are an attempt to reduce anxiety, not to find pleasure. People with obsessive-compulsive personality disorder may view their thoughts as part of who they are, see their thoughts as logical, and may find pleasure or benefit in completing compulsive tasks. They may experience a lot of distress when they can’t achieve control or the perfectionism they want. 
 Obsessive-compulsive personality disorder is one of the most common personality disorders. Treatment may include some combination of psychotherapy, medication, and self-help strategies. To find help for OCPD, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator.",obsessivecompulsive personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress obsessivecompulsive personality disorder ocpd control people ocpd inflexible thinking expect everything ordered perfect done correct way happens expense important thing life including relationship others work take priority every part life people ocpd may seem excessively dedicated may unable complete task due perfectionism may struggle delegate may distrust people contribution people ocpd may tolerate uncertainty may rigid understanding worldsomething either right wrong may also hard time spending money others may experience hoarding inability throw away item home conflict desire neatness order inability throw thing may cause lot anxiety obsessivecompulsive personality disorder obsessivecompulsive disorder ocd similar name illness people obsessivecompulsive disorder usually understand obsession compulsion illogical usually experience lot distress even though may able stop obsession compulsion compulsion attempt reduce anxiety find pleasure people obsessivecompulsive personality disorder may view thought part see thought logical may find pleasure benefit completing compulsive task may experience lot distress cant achieve control perfectionism want obsessivecompulsive personality disorder one common personality disorder treatment may include combination psychotherapy medication selfhelp strategy find help ocpd talk family doctor find psychologist bc psychological association call talk healthlink bc navigator
What is binge-eating disorder?,"Binge-eating disorder or BED is a type of eating disorder. It involves episodes of eating a lot of food in a short amount of time, past the point of feeling full, and feelings of being out of control or unable to stop eating. People who experience binge-eating disorder may binge even when they don’t feel hungry. They may feel temporarily comforted by food, and then feel depressed, upset, guilty, or ashamed of their eating. As a result, many people try to keep binge-eating symptoms a secret. You can’t tell if someone experiences binge-eating disorder just from the way they look or the way they eat around others. 
 While a lot of people have the experience of eating too much a few times and feeling uncomfortable after, people who experience binge-eating disorder experience many binges for a long period of time. 
 Binge-eating disorder is treatable. Talk to your doctor or a mental health professional if you think you might have binge-eating disorder.",bingeeating disorder,bingeeating disorder bed type eating disorder involves episode eating lot food short amount time past point feeling full feeling control unable stop eating people experience bingeeating disorder may binge even dont feel hungry may feel temporarily comforted food feel depressed upset guilty ashamed eating result many people try keep bingeeating symptom secret cant tell someone experience bingeeating disorder way look way eat around others lot people experience eating much time feeling uncomfortable people experience bingeeating disorder experience many binge long period time bingeeating disorder treatable talk doctor mental health professional think might bingeeating disorder
What’s the difference between dissociative identity disorder (multiple personality disorder) and schizophrenia?,"Sometimes, people confuse dissociative identity disorder, formerly known as multiple personality disorder, and schizophrenia. Schizophrenia does mean “split mind,” but the name was meant to describe the ‘split’ from reality that you experience during an episode of psychosis, as well as changes in thoughts, emotions, and other functions. Dissociative identity disorder, on the other hand, does cause a split or fragmented understanding of a person’s sense of themselves. 
 Dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own. Most people see different parts of their being as part of the whole person. For people who experience DID, identity fragments may have very different characteristics, including their own history, identity, and mannerisms. A key part of DID is dissociation—feeling detached to the world around you. People who experience DID may have many unexplainable gaps in their memory, forget information they’re already learned, or have difficulties recalling things they’ve said or done. Unlike portrayals of DID on TV or in movies, DID may not be obvious to others, and it can take a lot of time to come to the diagnosis. 
 Schizophrenia is a serious mental illness that causes hallucinations (sensations that aren’t real) and delusions (beliefs that can’t possibly be true, in addition to other symptoms like jumbled thoughts, jumbled speech, and difficulties expressing emotions. People who experience schizophrenia may hear or feel things that aren’t real or believe things that can’t be real, but these aren’t separate identities.",whats difference dissociative identity disorder multiple personality disorder schizophrenia,sometimes people confuse dissociative identity disorder formerly known multiple personality disorder schizophrenia schizophrenia mean split mind name meant describe split reality experience episode psychosis well change thought emotion function dissociative identity disorder hand cause split fragmented understanding person sense dissociative identity disorder really fragmented identity many different personality develop people see different part part whole person people experience identity fragment may different characteristic including history identity mannerism key part dissociationfeeling detached world around people experience may many unexplainable gap memory forget information theyre already learned difficulty recalling thing theyve said done unlike portrayal tv movie may obvious others take lot time come diagnosis schizophrenia serious mental illness cause hallucination sensation arent real delusion belief cant possibly true addition symptom like jumbled thought jumbled speech difficulty expressing emotion people experience schizophrenia may hear feel thing arent real believe thing cant real arent separate identity
What's the difference between psychosis and schizophrenia?,"Psychosis is a syndrome or group of symptoms. Someone experiencing an episode of psychosis is having a ‘break’ with reality. Major symptoms of psychosis are hallucinations and delusions. Hallucinations are sensations that are not real, such as hearing voices or sounds that aren’t real. Hearing voices is a common hallucination, but hallucinations can be experiences with any sense—hearing, sight, smell, taste, or touch. Delusions are strong beliefs that can’t possibly be true. Common delusions include the belief that someone is following or monitoring you, or the belief that you have extraordinary powers or abilities. Other symptoms of psychosis include difficulties concentrating, completing tasks, or making decisions. Thoughts may feel ‘jumbled’ or confused. Some people have a hard time following conversations or speaking clearly. Psychosis can even affect the way people move or express their emotions. 
 Schizophrenia is a mental illness that causes psychosis, but schizophrenia also has other symptoms. And it isn’t the only cause of psychosis. In some cases, other mental illnesses cause psychosis, including depression, bipolar disorder, dementia and borderline personality disorder. Psychosis may come up during times of extreme stress, a major lack of sleep, or trauma. People who are using or withdrawing from certain drugs or medications may experience psychosis. Psychosis may also be caused by a brain injury, neurological problem, or other health problem. So while psychosis can be a part of schizophrenia, it can be caused by many other things too. 
 Psychosis and schizophrenia are treatable. It’s important to seek help as soon as possible.",whats difference psychosis schizophrenia,psychosis syndrome group symptom someone experiencing episode psychosis break reality major symptom psychosis hallucination delusion hallucination sensation real hearing voice sound arent real hearing voice common hallucination hallucination experience sensehearing sight smell taste touch delusion strong belief cant possibly true common delusion include belief someone following monitoring belief extraordinary power ability symptom psychosis include difficulty concentrating completing task making decision thought may feel jumbled confused people hard time following conversation speaking clearly psychosis even affect way people move express emotion schizophrenia mental illness cause psychosis schizophrenia also symptom isnt cause psychosis case mental illness cause psychosis including depression bipolar disorder dementia borderline personality disorder psychosis may come time extreme stress major lack sleep trauma people using withdrawing certain drug medication may experience psychosis psychosis may also caused brain injury neurological problem health problem psychosis part schizophrenia caused many thing psychosis schizophrenia treatable important seek help soon possible
What are positive and negative symptoms?,"Positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia. 
 Positive symptoms add. Positive symptoms include hallucinations (sensations that aren’t real), delusions (beliefs that can’t be real), and repetitive movements that are hard to control. 
 Negative symptoms take away. Negative symptoms include the inability to show emotions, apathy, difficulties talking, and withdrawing from social situations and relationships. 
 There is also a third group of symptoms, usually called cognitive symptoms. This includes anything related to thinking, such as disorganized thoughts, memory problems, and difficulties with focus and attention.",positive negative symptom,positive negative symptom medical term two group symptom schizophrenia positive symptom add positive symptom include hallucination sensation arent real delusion belief cant real repetitive movement hard control negative symptom take away negative symptom include inability show emotion apathy difficulty talking withdrawing social situation relationship also third group symptom usually called cognitive symptom includes anything related thinking disorganized thought memory problem difficulty focus attention
What is a prodrome?,"Prodrome is a medical term for early signs or symptoms of an illness or health problem that appear before the major signs or symptoms start. 
 Psychosis, a group of symptoms found in disorders like schizophrenia, is one illness with a specific prodrome. With psychosis, prodrome signs and symptoms start before full symptoms like hallucinations and delusions appear. 
 Common symptoms in the prodrome of psychosis include: 
 These symptoms are found in many other mental illnesses, so it isn’t always clear at the time if this is a prodrome of psychosis or schizophrenia or something else. It’s best to seek help whenever you are concerned about your mental health or a loved one’s mental health. Psychosis and schizophrenia are much easier to manage and treat when treatment starts early.",prodrome,prodrome medical term early sign symptom illness health problem appear major sign symptom start psychosis group symptom found disorder like schizophrenia one illness specific prodrome psychosis prodrome sign symptom start full symptom like hallucination delusion appear common symptom prodrome psychosis include symptom found many mental illness isnt always clear time prodrome psychosis schizophrenia something else best seek help whenever concerned mental health loved one mental health psychosis schizophrenia much easier manage treat treatment start early
I’m an adult and I think I might have ADHD. What can I do next?,"While we think of attention-deficit/hyperactivity disorder as an illness that affects children, it can last into adulthood—and some people aren’t diagnosed until much later in life. 
 ADHD is diagnosed like any other mental illness, so your family doctor is a good place to start. Your family doctor may be able to assess your mental health and start treatment, if needed, or they may refer you to more specialized mental health services. 
 There are a few organizations that can help you find good resources and find some support: 
 The Canadian Attention Deficit Hyperactivity Disorder Resource Alliance (CADDRA) is an organization that supports health professionals who research ADHD, treat and support people diagnosed with ADHD, and trains professionals. In the ‘Public Info’ section of their website, you’ll find more information on adult ADHD and the assessment process. You’ll also find extensive resources and recommended publications. 
 The Centre for ADHD Awareness, Canada provides education and advocacy for Canadians who experience ADHD. They have a section on their website for adults, including information on symptoms and assessments, treatments, ADHD in the workplace, resources, and a reading list. 
 CHADD Vancouver offers a monthly support group for adults in the Vancouver area.",im adult think might adhd next,think attentiondeficithyperactivity disorder illness affect child last adulthoodand people arent diagnosed much later life adhd diagnosed like mental illness family doctor good place start family doctor may able assess mental health start treatment needed may refer specialized mental health service organization help find good resource find support canadian attention deficit hyperactivity disorder resource alliance caddra organization support health professional research adhd treat support people diagnosed adhd train professional public info section website youll find information adult adhd assessment process youll also find extensive resource recommended publication centre adhd awareness canada provides education advocacy canadian experience adhd section website adult including information symptom assessment treatment adhd workplace resource reading list chadd vancouver offer monthly support group adult vancouver area
What’s the difference between substance use and addiction?,"People tend to use the word “addiction” to mean very different things. “I am addicted to shopping” might mean only that the speaker likes to shop. On the other hand, “He is addicted” might mean the speaker thinks the other person is completely unable to control his own behaviour. When people use the word about psychoactive (mind-altering) substances like alcohol, tobacco, or other drugs, they often assume these drugs are dangerous and have the power to control human behaviour. 
 The evidence, however, suggests a quite different picture. While substance use can clearly contribute to health and social problems, substances can be beneficial for some people in some situations. Many people celebrate a special occasion with a nice glass of wine, for example. Some people use tobacco as a powerful symbol in cultural and spiritual ceremonies. In fact, substances have been used by humans throughout history for many reasons: to feel good, to feel better, to improve performance, for cultural/spiritual reasons, and to have new experiences. 
 Substance use is more complicated than just “good” or “bad.” It’s helpful to think of substance use along a continuum, from beneficial use to harmful use. Along the middle of the continuum, substance use may be both beneficial and harmful. You have an enjoyable night out with friends, but feel a little ill the next day. At the far end of the continuum, some people develop dependence—they need to continually use the drug in order to feel normal and will keep using even when that leads to financial difficulties, problems at home or at work, health problems, or legal problems. 
 In general, substance use is a problem when it causes problems for you or others—and how much use causes problems will be different for different people in different situations. The reason a person uses a substance influences the risk of developing problems. For instance, if a person uses a substance to have fun, only occasional social use may follow. But when a person uses a substance to cope with a long-term problem such as social anxiety, then more long lasting and intense use may follow. Managing our risk involves being aware of why we are using and what impacts our use is having on ourselves and those around us. The wisdom of our ancestors suggests a guiding principle—not too much, not too often, and only in safe contexts.",whats difference substance use addiction,people tend use word addiction mean different thing addicted shopping might mean speaker like shop hand addicted might mean speaker think person completely unable control behaviour people use word psychoactive mindaltering substance like alcohol tobacco drug often assume drug dangerous power control human behaviour evidence however suggests quite different picture substance use clearly contribute health social problem substance beneficial people situation many people celebrate special occasion nice glass wine example people use tobacco powerful symbol cultural spiritual ceremony fact substance used human throughout history many reason feel good feel better improve performance culturalspiritual reason new experience substance use complicated good bad helpful think substance use along continuum beneficial use harmful use along middle continuum substance use may beneficial harmful enjoyable night friend feel little ill next day far end continuum people develop dependencethey need continually use drug order feel normal keep using even lead financial difficulty problem home work health problem legal problem general substance use problem cause problem othersand much use cause problem different different people different situation reason person us substance influence risk developing problem instance person us substance fun occasional social use may follow person us substance cope longterm problem social anxiety long lasting intense use may follow managing risk involves aware using impact use around u wisdom ancestor suggests guiding principlenot much often safe context
How can I find help for an alcohol or drug use problem?,"Seeking to make changes in the way you use substances like alcohol or other drugs? This can be an important step! 
 Some people are able to reduce their substance use or quit altogether on their own or with self-help materials. But most of us need support from other people—family members, friends, health professionals, or other people struggling with substance use problems. The right help for you depends on many factors. These include the type of drug you are using, how much and how often, your health and social situation and, of course, your own preferences. Getting help doesn’t mean giving up control of shaping your own path. You are still the one who makes the final decisions about the type and degree of change you make. 
 One way to get help is to talk to a doctor you trust and feel comfortable confiding in. If you aren’t comfortable talking in person, you can also get advice from a registered nurse (along with advice on programs or services in your area) by calling HealthLink BC at 8-1-1. Since some drugs are illegal, many people worry about what might happen if they talk about drug use. It’s important to know that in most cases, doctors have to protect your privacy—it’s the law. 
 In BC, the Alcohol and Drug Information Referral Service can help you find information on treatment options, support groups and other resources throughout the province. It’s free, confidential, and available 24/7. Call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland.",find help alcohol drug use problem,seeking make change way use substance like alcohol drug important step people able reduce substance use quit altogether selfhelp material u need support peoplefamily member friend health professional people struggling substance use problem right help depends many factor include type drug using much often health social situation course preference getting help doesnt mean giving control shaping path still one make final decision type degree change make one way get help talk doctor trust feel comfortable confiding arent comfortable talking person also get advice registered nurse along advice program service area calling healthlink bc since drug illegal many people worry might happen talk drug use important know case doctor protect privacyits law bc alcohol drug information referral service help find information treatment option support group resource throughout province free confidential available call alcohol drug information referral service lower mainland
